Date_Ref;Exutoire;Client;Activité;Num Ticket;Num Bon;Chauffeur;Immatriculation;EXT_Matiere;Matiere_T;Verif_Tonnes;Verif_Matiere;Verif_Exutoire;Poids_Terrain;Poids_Facture;Ecart
2025-11-12;PICHETA;SITA -IDF;DECHETTERIE;LC25113392C;BM7411250020;BOUZIANE;GZ-534-BG;DEPOT GRAVAT CHANTIER;GRAVATS;OK;OK;OK;5.88;5.88;0.0
;PICHETA;SITA -IDF;DECHETTERIE;LC25113671C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;8.24;-8.24
;PICHETA;SITA -IDF;DECHETTERIE;LC25114616C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;6.42;-6.42
;PICHETA;SITA -IDF;DECHETTERIE;LC25114623C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;4.2;-4.2
;PICHETA;SITA -IDF;DECHETTERIE;LC25114632C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;6.68;-6.68
;PICHETA;SITA -IDF;DECHETTERIE;LC25114638C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;9.9;-9.9
;PICHETA;SITA -IDF;DECHETTERIE;LC25114652C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;8.72;-8.72
;PICHETA;SITA -IDF;DECHETTERIE;LC25114654C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;7.32;-7.32
;PICHETA;SITA -IDF;DECHETTERIE;LC25114656C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;6.86;-6.86
;PICHETA;SITA -IDF;DECHETTERIE;LC25114658C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;7.94;-7.94
;PICHETA;SITA -IDF;DECHETTERIE;LC25114660C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;7.92;-7.92
